Specimen properties : Thickness,"2.70000",mm
Specimen properties : Width,"10.50000",mm
Specimen properties : Support span,"43.20000",mm

Time,Extension,Load
(s),(mm),(kgf)
"64.00000","4.26514","0.87554"
"64.10000","4.27180","0.87557"
"64.20000","4.27846","0.87586"
"64.30000","4.28526","0.87577"
"64.40000","4.29227","0.87580"
"64.50000","4.29886","0.87593"
"64.60000","4.30534","0.87525"
"64.70000","4.31162","0.87533"
"64.80000","4.31831","0.87559"
"64.90000","4.32555","0.87577"
"65.00000","4.33214","0.87554"
"65.10000","4.33852","0.87520"
"65.20000","4.34516","0.87531"
"65.30000","4.35234","0.87599"
"65.40000","4.35894","0.87532"
"65.50000","4.36516","0.87476"
"65.60000","4.37158","0.87464"
"65.70000","4.37842","0.87469"
"65.80000","4.38547","0.87497"
"65.90000","4.39208","0.87434"
"66.00000","4.39864","0.87444"
"66.10000","4.40543","0.87383"
"66.20000","4.41205","0.87359"
"66.30000","4.41863","0.87251"
"66.40000","4.42519","0.87230"
"66.50000","4.43196","0.87222"
"66.60000","4.43857","0.87116"
"66.70000","4.44517","0.87115"
"66.80000","4.45192","0.87089"
"66.90000","4.45903","0.87096"
"67.00000","4.46564","0.87080"
"67.10000","4.47181","0.86990"
"67.20000","4.47824","0.86953"
"67.30000","4.48531","0.87020"
"67.40000","4.49226","0.86998"
"67.50000","4.49870","0.86950"
"67.60000","4.50512","0.86904"
"67.70000","4.51190","0.86905"
"67.80000","4.51894","0.86912"
"67.90000","4.52545","0.86841"
"68.00000","4.53178","0.86817"
"68.10000","4.53831","0.86759"
"68.20000","4.54516","0.86792"
"68.30000","4.55202","0.86807"
"68.40000","4.55867","0.86798"
"68.50000","4.56545","0.86735"
"68.60000","4.57199","0.86729"
"68.70000","4.57856","0.86720"
"68.80000","4.58518","0.86726"
"68.90000","4.59185","0.86687"
"69.00000","4.59869","0.86695"
"69.10000","4.60517","0.86676"
"69.20000","4.61171","0.86599"
"69.30000","4.61874","0.86658"
"69.40000","4.62581","0.86642"
"69.50000","4.63224","0.86583"
"69.60000","4.63833","0.86506"
"69.70000","4.64481","0.86501"
"69.80000","4.65210","0.86492"
"69.90000","4.65891","0.86479"
"70.00000","4.66528","0.86424"
"70.10000","4.67189","0.86503"
"70.20000","4.67864","0.86448"
"70.30000","4.68559","0.86471"
"70.40000","4.69194","0.86433"
"70.50000","4.69838","0.86348"
"70.60000","4.70510","0.86317"
"70.70000","4.71192","0.86347"
"70.80000","4.71863","0.86302"
"70.90000","4.72539","0.86318"
"71.00000","4.73231","0.86280"
"71.10000","4.73884","0.86241"
"71.20000","4.74502","0.86230"
"71.30000","4.75167","0.86237"
"71.40000","4.75872","0.86203"
"71.50000","4.76537","0.86100"
"71.60000","4.77197","0.86103"
"71.70000","4.77840","0.86097"
"71.80000","4.78563","0.86105"
"71.90000","4.79246","0.86069"
"72.00000","4.79868","0.86011"
"72.10000","4.80492","0.85941"
"72.20000","4.81164","0.85977"
"72.30000","4.81873","0.85961"
"72.40000","4.82552","0.85949"
"72.50000","4.83196","0.85919"
"72.60000","4.83864","0.85920"
"72.70000","4.84538","0.85948"
"72.80000","4.85200","0.85918"
"72.90000","4.85846","0.85872"
"73.00000","4.86515","0.85893"
"73.10000","4.87178","0.85807"
"73.20000","4.87842","0.85755"
"73.30000","4.88526","0.85651"
"73.40000","4.89228","0.85705"
"73.50000","4.89890","0.85618"
"73.60000","4.90533","0.85560"
"73.70000","4.91158","0.85538"
"73.80000","4.91835","0.85477"
"73.90000","4.92558","0.85434"
"74.00000","4.93210","0.85390"
"74.10000","4.93851","0.85360"
"74.20000","4.94519","0.85349"
"74.30000","4.95233","0.85284"
"74.40000","4.95896","0.85222"
"74.50000","4.96522","0.85223"
"74.60000","4.97152","0.85108"
"74.70000","4.97831","0.85188"
"74.80000","4.98545","0.85163"
"74.90000","4.99209","0.85122"
